Thể loại : Action, số lượng : 2383
Thể loại : Adventure, số lượng : 1470
Thể loại : Animation, số lượng : 699
Thể loại : Comedy, số lượng : 3788
Thể loại : Crime, số lượng : 1355
Thể loại : Documentary, số lượng : 520
Thể loại : Drama, số lượng : 4758
Thể loại : Family, số lượng : 1231
Thể loại : Fantasy, số lượng : 915
Thể loại : Foreign, số lượng : 188
Thể loại : genres, số lượng : 1
Thể loại : History, số lượng : 334
Thể loại : Horror, số lượng : 1633
Thể loại : Music, số lượng : 408
Thể loại : Mystery, số lượng : 809
Thể loại : Romance, số lượng : 1711
Thể loại : Science, số lượng : 1229
Thể loại : Thriller, số lượng : 2905
Thể loại : TV, số lượng : 167
Thể loại : War, số lượng : 270
Thể loại : Western, số lượng : 165
