vote_average revenue
6.5 1513528810
7.1 378436354
6.3 295238201
7.5 2068178225
7.3 1506249360
7.2 532950503
5.8 440603537
7.6 595380321
6.5 1156730962
8 853708609
6.2 880674609
5.2 183987723
7.6 36869414
5.8 243637091
7.4 1405035767
7.4 155760117
6.1 325771424
7 518602163
6.8 542351353
6.5 650523427
6.2 209035668
7.3 91709827
6.1 470490832
5.3 569651467
7.3 133346506
7.1 682330139
6.3 215863606
7.6 403802136
7.8 88346473
6.4 311256926
6.4 29355203
6.6 102069268
6.8 287506194
7.1 162610473
6.2 150170815
8 35401758
6.2 22354572
6.6 331926147
6.3 71561644
7.3 62076141
7.7 201634991
5.6 140396650
6.9 34441873
7 108145109
7.3 42629776
5.9 14333790
6.9 368871007
6.2 85512300
5.3 0
6.6 9064511
7.1 40272135
7.1 194564672
6.7 203427584
6.4 101134059
5.5 133718711
6.3 36606743
6.2 30523226
5.3 30418560
7.3 64191523
5 17752940
7.1 84025816
4.4 167977596
5.8 40423945
6.9 235666219
6.7 153962963
5.5 82347656
6.4 93820758
5.4 0
7.3 137935567
6.1 140795793
7.2 32848185
6.7 42972994
5.5 45895
5.9 128388320
5.1 0
7.7 0
6.4 246233113
6.9 48623572
6.1 52395996
4.8 5214043
7.3 63013281
6.8 466183544
5.3 24000000
6.8 61181942
5.9 1863315
6.1 104384188
5 95437994
5.1 187112
5.6 2000000
5.9 3324330
6.6 58978653
5.7 240360392
5.4 0
4.1 0
7.5 97571250
5.7 233755553
6.9 18340000
6.8 43528634
5.5 52882018
5.3 107597242
7 0
5.4 0
3.9 50163103
5.6 0
6.2 49263404
 79799880
 
6.2 14860766
5.9 98450062
6.3 99775678
5.4 50136
5.9 61548707
5.7 208588
6.7 54418872
7.3 17986781
5.9 28208085
7.3 61619773
4.5 0
5.9 105011053
6.3 32248241
5.8 5189646
5.3 72629670
6.4 74679822
5.1 0
6.3 122413057
5 78099553
6.6 229094
7.2 8235661
6.2 32189727
6.4 2500431
5.7 311594032
6 4719695
7 43967255
6.9 59700000
6.3 0
6.3 1702433
5.6 10664749
5.6 62882090
5.5 51680201
6.3 104303851
5.5 118483
4.5 0
5.9 41387687
5.5 34227298
7.5 0
6.7 3759286
6.3 0
5.2 17671101
6.6 0
7.1 11472454
5.8 0
6.8 1477002
5.3 0
6 0
6.3 3643591
5.7 0
6.1 27391084
6 0
5.5 41325328
7.2 0
7.7 0
5.6 60273173
5.8 1936524
5.9 7587485
5.9 106511453
5.8 0
4.8 0
5.1 0
5.8 24902723
7.1 16002420
6 0
6.2 11122090
5.5 6075
6.4 13192457
4.2 16775
5.2 0
6.7 0
6.6 0
6.9 30229977
7.3 3002884
6.4 85978266
7.1 6420319
6.4 0
7.7 1986615
5.2 26250020
3.6 0
5.3 0
5.7 7002261
5.1 0
6.4 231737
4.5 0
5.6 0
5.5 134552
4.3 0
6.2 3214116
5.6 0
7.5 8413144
5.3 0
4.9 0
5.5 0
4.9 0
7.1 573335
6.5 0
4.7 695269
6.4 2541554
5 0
6.6 10835752
5.1 3020664
7 0
6.6 14444999
4.5 1784763
6.8 1411927
5 12314651
5.7 0
5 143101
5.7 0
4.2 0
7.3 0
4.7 0
5 0
5.9 0
5.1 8034
5.3 0
3.6 0
5.4 35991087
5.2 0
4.9 64110728
6.8 0
5.4 0
7.8 0
4.9 14431253
5.7 45431
7.5 0
5.7 0
5.9 0
5.9 0
7.4 45710059
5.4 0
6 0
4.9 0
5.7 0
4.1 0
5.9 0
5 42664410
4.8 0
5 0
6.9 0
5.4 3334927
6.8 0
5.1 0
5.5 0
6.2 1236094
4 0
4.1 0
5 0
6.5 0
4.3 157768
4.9 0
4.7 0
6.8 0
7.6 0
6.6 0
5.8 0
5.6 0
4.5 0
7.5 0
4.4 0
6 0
5.9 0
5.8 0
6.1 13603453
6.7 21571189
4.9 0
6.5 0
6.9 0
5.6 1646788
5.7 316472
6 0
4.1 0
6.1 0
7.3 0
5.9 3286448
5.2 0
6.6 0
6.3 0
5.4 0
5.5 0
3.5 0
5.7 2333684
4.8 0
5 0
7.2 0
7.5 90777
5.6 0
7.1 0
5.3 4505
6.3 0
5.5 0
5 3387000
4.7 0
5.7 0
5.8 0
4.4 0
6.2 0
3.8 0
4.2 771317
5.9 0
6.2 228136
6.1 0
6.8 830129
5.7 0
5.3 0
4.4 0
5.4 0
3.5 0
6.5 49970
4.9 0
5.5 0
7 0
3.8 0
3.3 0
3.6 0
5.9 0
5 0
6.1 0
6.5 0
4.4 0
3.7 0
4.8 0
6.4 0
5.8 0
7.2 0
5 17472
5.9 0
5.4 0
6.5 0
7.8 0
5.5 0
4.9 0
6.6 0
6.3 0
6.1 0
6.3 16661077
4.2 0
5.9 0
6.2 7449681
5.6 0
6.2 494506
5.9 0
5.9 0
5.1 0
5.7 2801508
4.6 0
4.7 0
4.7 0
5.6 70958
5.4 0
6.1 0
4.6 0
7.9 0
4.2 0
5.8 0
4 0
6.4 0
6.8 643557
6.1 0
5.9 0
5.3 0
4.2 0
5.7 0
6.1 0
6.9 2334228
6.9 0
5.9 3447633
5.8 0
6.6 0
4.5 0
4.5 0
8 0
6.3 4444
6.3 0
5.7 4842699
5.6 0
5.7 0
6.5 0
6.3 0
4.1 0
5.7 0
5.8 0
5.2 0
5.2 0
7.8 0
6.4 0
3.9 0
5.7 0
4.1 0
5.5 0
5.8 0
4.8 0
3.9 0
4.6 0
3.7 0
7.1 0
3.9 0
4.9 0
6 0
6.1 0
6.9 0
3.9 0
5.3 0
5.6 7087452
5.6 0
5.3 0
4.6 0
5.4 0
7.2 0
7.7 0
4.4 0
5.4 0
6.4 0
4.8 0
5.3 2642899
5 0
7.4 0
6.4 0
6.1 0
6.4 0
7.2 0
4.4 0
5.6 0
5.8 0
5.1 0
5 0
5.1 0
5.6 0
6.3 161820
7 0
7.7 0
6.1 0
6.2 0
6.6 0
6.8 0
8.2 0
6.1 0
6.2 30400
5.6 0
5 0
4.3 0
7 0
5.8 0
5 0
5.5 0
3.3 0
2.6 0
6.2 0
4.9 0
7.6 0
7.7 0
4.9 0
6.4 0
6.9 0
6.5 0
6.7 0
4 0
6 0
5 0
7.8 0
4 0
5.9 1100000
4.7 0
5.3 0
5.5 0
6.4 0
5.3 0
5.5 0
5.1 104507
4.8 0
5.3 0
7 0
5 0
5.2 0
4 0
3.1 0
4.7 0
5.4 0
4.6 0
7.4 0
5.4 0
4.2 0
6.9 0
6.2 6921
6.1 0
5.4 0
6.9 67790117
4.4 0
7.2 0
7.4 0
7.5 0
5.2 0
6.2 0
3.5 0
7.5 0
3.5 0
4.7 0
6.9 0
6.4 0
5.7 0
3.5 0
6.2 0
6.2 0
4.1 0
5.7 0
5.5 0
7 0
6.7 0
7 0
5.3 0
5.7 28281
7 0
3.9 0
4.9 0
7.4 0
5.8 0
5.6 0
7.6 0
6.2 0
6.5 0
5.7 0
5.7 0
7.6 0
4.2 0
7.3 0
3.5 0
6.6 0
