Ã€lex Pastor - 5.7 - 2009
Ã‡aÄŸan Irmak - 8.2 - 2005
Aaron Aites - 6.5 - 2008
Aaron Blaise - 6.8 - 2003
Aaron Hann - 6.1 - 2015
Aaron Harvey - 4.9 - 2011
Aaron Katz - 5.8 - 2014
Aaron Keeling - 3.8 - 2015
Aaron Moorhead - 5.9 - 2012
Aaron Moorhead - 4.2 - 2014
Aaron Moorhead - 6.5 - 2015
Aaron Norris - 4.9 - 1988
Aaron Norris - 5.1 - 1990
Aaron Norris - 5.2 - 1991
Aaron Norris - 5.7 - 1992
Aaron Norris - 4.7 - 1995
Aaron Schneider - 5.9 - 2010
Aaron Seelman - 5.2 - 2013
Aaron Seltzer - 3.9 - 2006
Aaron Seltzer - 3.4 - 2007
Aaron Seltzer - 3.3 - 2008
Aaron Seltzer - 4 - 2008
Aaron Seltzer - 4.3 - 2010
Aaron Seltzer - 4.1 - 2013
Aaron Seltzer - 3.8 - 2014
Aaron Seltzer - 4.4 - 2015
Aaron Woodley - 5.5 - 2011
Abbas Alibhai Burmawalla - 5.5 - 2001
Abbas Alibhai Burmawalla - 5.7 - 2008
Abbas Kiarostami - 7.4 - 1987
Abbas Kiarostami - 5.5 - 1999
Abbas Kiarostami - 7.4 - 2007
Abbas Tyrewala - 6.4 - 2008
Abe Levy - 5.2 - 2013
Abel Ferrara - 5.5 - 1981
Abel Ferrara - 6.2 - 1990
Abel Ferrara - 6.3 - 1992
Abel Ferrara - 5.5 - 1993
Abel Ferrara - 5.2 - 1995
Abel Ferrara - 4.8 - 1998
Abel Ferrara - 4.2 - 2011
Abel Ferrara - 5.5 - 2014
Abel Ferry - 5.5 - 2009
Abe Sylvia - 6.2 - 2010
Adam Brooks - 6.5 - 2008
Adam Brooks - 6 - 2015
ÃdÃ¡m CsÃ¡szi - 7.2 - 2014
Adam Curtis - 8.3 - 2002
Adam Curtis - 7.6 - 2004
Adam Curtis - 7.8 - 2015
Adam Deacon - 7.3 - 2011
Adam Doench - 7.2 - 2002
Adam Egypt Mortimer - 3.9 - 2015
Adam Elliot - 6.8 - 2003
Adam Elliot - 7.5 - 2009
Adam Fields - 5.1 - 2008
Adam Gierasch - 4.5 - 2008
Adam Gierasch - 4.2 - 2009
Adam Gierasch - 4 - 2011
Adam Gierasch - 5.3 - 2015
Adam Green - 5.3 - 2006
Adam Green - 5.1 - 2010
Adam Green - 5.8 - 2010
Adam Green - 5.9 - 2011
Adam Green - 5.4 - 2015
Adam Grossman - 4 - 1996
Adam Jay Epstein - 3.4 - 2008
Adam Kassen - 6.6 - 2011
Adam MacDonald - 5.8 - 2015
Adam Marcus - 3.9 - 1993
Adam Mason - 3.9 - 2015
Adam Massey - 4.9 - 2015
Adam McKay - 5.6 - 2004
Adam McKay - 6.7 - 2004
Adam McKay - 6.2 - 2006
Adam McKay - 6.6 - 2008
Adam McKay - 6.1 - 2010
Adam McKay - 6 - 2013
Adam McKay - 7.3 - 2015
Adam Neutzsky-Wulff - 4.4 - 2013
Adamo P. Cultraro - 5.1 - 2011
